Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /attacks,5282,0,2200,2349.447965770414,19.987200008472428,14976.348799988045,215149.0,29.489895471142056,0.0,2200,2900,3500,3800,4200,4700,7200,7600,12000,15000,15000
GET,GET /auth/me,3524,0,1700,1915.6933844778641,7.09689999348484,12932.416900002863,240.0,19.67481856120875,0.0,1700,2500,3000,3200,3700,4200,6600,7200,11000,13000,13000
GET,GET /health/ready,9039,0,33,40.29364846768398,3.0958999996073544,287.9880999971647,54.0,50.46557462394037,0.0,33,48,56,62,80,98,130,170,220,290,290
GET,GET /targets,5301,0,2000,2007.879464119987,6.231400009710342,11278.09530000377,2618.0,29.59597423182962,0.0,2000,2600,3100,3400,3800,4200,6500,7100,10000,11000,11000
POST,POST /auth/login,300,0,1700,1959.5542036664363,226.77259999909438,9282.242200002656,1060.0,1.6749278003299162,0.0,1700,2500,2800,3100,4000,4500,5900,7900,9300,9300,9300
,Aggregated,23446,0,470,1311.8031745713063,3.0958999996073544,14976.348799988045,49131.91597713896,130.9011906884507,0.0,470,1700,2400,2800,3600,4000,5700,7000,11000,14000,15000
