Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /attacks,4249,396,2300,2152.98644332801,9.875000003376044,9838.331400009338,195097.45751941632,35.773107506751,3.3339963691864902,2300,2400,2500,2500,2700,4100,4400,4700,6800,9800,9800
GET,GET /auth/me,2731,240,1900,1846.926939619115,7.350499989115633,8016.574099994614,218.9088246063713,22.992788091536124,2.0206038601130243,1900,2000,2100,2100,2300,3800,4100,4900,7700,8000,8000
GET,GET /health/ready,7160,705,13,78.36868428769385,2.6889000000664964,794.6267000079388,48.68296089385475,60.281348493371894,5.935523839082009,13,19,25,32,260,660,700,720,760,790,790
GET,GET /targets,4233,390,1900,1861.640915190184,13.343099999474362,9314.446400007,2376.7951807228915,35.638400582743465,3.2834812726836646,1900,2000,2100,2100,2400,3900,4100,4500,7200,9300,9300
POST,POST /auth/login,200,0,2600,3369.692337999586,496.80990001070313,10932.074200012721,1060.0,1.683836550094187,0.0,2600,4100,4700,5300,6700,8000,9600,9700,11000,11000,11000
,Aggregated,18573,1731,1300,1254.90664464007,2.6889000000664964,10932.074200012721,45237.09045388467,156.36948122449667,14.573605341065187,1300,2000,2100,2200,2400,3600,4200,4500,7700,9800,11000
